Total Write,Term,Node 1 Write,Node 2 Write,Node 3 Write,Node 4 Write,Node 5 Write,Node 6 Write,Node 7 Write,Node 8 Write,Node 1 Remain Percent,Node 2 Remain Percent,Node 3 Remain Percent,Node 4 Remain Percent,Node 5 Remain Percent,Node 6 Remain Percent,Node 7 Remain Percent,Node 8 Remain Percent,variance
27203208630,1,3950730651,4143225498,4012967352,4340155958,4064142197,2265275118,2249018770,2177693086,0.00395073,0.00414323,0.00401297,0.00434016,0.00406414,0.00453055,0.00449804,0.00435539,0.0000000500
28407739770,1,4132374147,4336690779,4190571665,4541806611,4222614727,2367748264,2347777351,2268156226,0.00413237,0.00433669,0.00419057,0.00454181,0.00422261,0.00473550,0.00469555,0.00453631,0.0000000550
29319383094,1,4259549159,4494185942,4329535647,4660948771,4336352900,2465883609,2440038355,2332888711,0.00425955,0.00449419,0.00432954,0.00466095,0.00433635,0.00493177,0.00488008,0.00466578,0.0000000656
29706038487,1,4324052420,4536467319,4367998011,4720964390,4416629359,2504136275,2480858036,2354932677,0.00432405,0.00453647,0.00436800,0.00472096,0.00441663,0.00500827,0.00496172,0.00470987,0.0000000692
31073086371,1,4504189097,4727819649,4640840657,4911506515,4626659512,2593178726,2611190410,2457701805,0.00450419,0.00472782,0.00464084,0.00491151,0.00462666,0.00518636,0.00522238,0.00491540,0.0000000696
32348246355,1,4687909816,4893059287,4840348737,5128267044,4801828363,2725451869,2710064404,2561316835,0.00468791,0.00489306,0.00484035,0.00512827,0.00480183,0.00545090,0.00542013,0.00512263,0.0000000814
33037731459,1,4786587231,4992881391,4916731823,5242653185,4911471771,2790069441,2780169042,2617167575,0.00478659,0.00499288,0.00491673,0.00524265,0.00491147,0.00558014,0.00556034,0.00523434,0.0000000910
33346887891,1,4844336332,5039031873,4963884384,5291956228,4943113695,2817001672,2798946070,2648617637,0.00484434,0.00503903,0.00496388,0.00529196,0.00494311,0.00563400,0.00559789,0.00529724,0.0000000912
33430887891,1,4852336332,5059031873,4967884384,5307956228,4951113695,2829001672,2802946070,2660617637,0.00485234,0.00505903,0.00496788,0.00530796,0.00495111,0.00565800,0.00560589,0.00532124,0.0000000936
35076579198,1,5085171567,5327170832,5214235952,5577563157,5205927927,2969320064,2932199876,2764989823,0.00508517,0.00532717,0.00521424,0.00557756,0.00520593,0.00593864,0.00586440,0.00552998,0.0000000991
39526496823,1,5707781135,5969073791,5882529029,6343333280,5879759168,3326512454,3290237297,3127270669,0.00570778,0.00596907,0.00588253,0.00634333,0.00587976,0.00665302,0.00658047,0.00625454,0.0000001227
43808889702,1,6345061590,6605448790,6494178815,6999281997,6529954602,3628414352,3695606463,3510943093,0.00634506,0.00660545,0.00649418,0.00699928,0.00652995,0.00725683,0.00739121,0.00702189,0.0000001501
44463331341,1,6416419258,6709791178,6590483373,7102165667,6631566841,3683781177,3762180754,3566943093,0.00641642,0.00670979,0.00659048,0.00710217,0.00663157,0.00736756,0.00752436,0.00713389,0.0000001618
45901878045,1,6640613170,6914515654,6814722397,7341702350,6849035277,3803841926,3868063160,3669384111,0.00664061,0.00691452,0.00681472,0.00734170,0.00684904,0.00760768,0.00773613,0.00733877,0.0000001633
46305692466,1,6705631049,6956087496,6874881532,7387578969,6923528708,3847809253,3914571880,3695603579,0.00670563,0.00695609,0.00687488,0.00738758,0.00692353,0.00769562,0.00782914,0.00739121,0.0000001708
46434160794,1,6724027399,6976087496,6883307958,7416005395,6947955134,3850205603,3934571880,3701999929,0.00672403,0.00697609,0.00688331,0.00741601,0.00694796,0.00770041,0.00786914,0.00740400,0.0000001734
48176766000,1,6949707468,7243061940,7103132422,7698085554,7262787696,4000176269,4054795063,3865019588,0.00694971,0.00724306,0.00710313,0.00769809,0.00726279,0.00800035,0.00810959,0.00773004,0.0000001851
48263701305,1,6969707468,7255061940,7112110857,7711063989,7278787696,4012176269,4055773498,3869019588,0.00696971,0.00725506,0.00711211,0.00771106,0.00727879,0.00802435,0.00811155,0.00773804,0.0000001837
48986850963,1,7074949235,7366398380,7250976769,7817335782,7360053566,4080567512,4096888207,3939681512,0.00707495,0.00736640,0.00725098,0.00781734,0.00736005,0.00816114,0.00819378,0.00787936,0.0000001844
49639352244,1,7171883755,7476071366,7346676293,7920373740,7458891768,4136732201,4136389982,3992333139,0.00717188,0.00747607,0.00734668,0.00792037,0.00745889,0.00827346,0.00827278,0.00798467,0.0000001838
51740699796,1,7411036802,7790292522,7687326965,8253415444,7792513376,4316801746,4328194096,4161118845,0.00741104,0.00779029,0.00768733,0.00825342,0.00779251,0.00863360,0.00865639,0.00832224,0.0000002135
51961920681,1,7446362559,7825618279,7733741503,8273415444,7810927914,4328127503,4354608634,4189118845,0.00744636,0.00782562,0.00773374,0.00827342,0.00781093,0.00865626,0.00870922,0.00837824,0.0000002154
53639987670,1,7668872690,8102294284,7983737938,8549348733,8015846819,4480669623,4480021026,4359196557,0.00766887,0.00810229,0.00798374,0.00854935,0.00801585,0.00896134,0.00896004,0.00871839,0.0000002413
53872668552,1,7717532654,8131523586,8020638268,8574249063,8052659307,4499546469,4497804144,4378715061,0.00771753,0.00813152,0.00802064,0.00857425,0.00805266,0.00899909,0.00899561,0.00875743,0.0000002391
54523544931,1,7811364066,8223721938,8129448785,8675502720,8142121078,4558082964,4549684864,4433618516,0.00781136,0.00822372,0.00812945,0.00867550,0.00814212,0.00911617,0.00909937,0.00886724,0.0000002457
55836468141,1,7988830908,8441824736,8293820359,8892391365,8342542775,4667480201,4650430525,4559147272,0.00798883,0.00844182,0.00829382,0.00889239,0.00834254,0.00933496,0.00930086,0.00911829,0.0000002628
57101971788,1,8185663277,8648379856,8490938133,9097211320,8544317796,4736208679,4753536412,4645716315,0.00818566,0.00864838,0.00849094,0.00909721,0.00854432,0.00947242,0.00950707,0.00929143,0.0000002508
58369356435,1,8399065836,8851161251,8690887847,9266421961,8708251393,4842694560,4873364662,4737508925,0.00839907,0.00885116,0.00869089,0.00926642,0.00870825,0.00968539,0.00974673,0.00947502,0.0000002576
59246793912,1,8509326000,8991979692,8802898659,9398173414,8868497217,4918417170,4930654673,4826847087,0.00850933,0.00899198,0.00880290,0.00939817,0.00886850,0.00983683,0.00986131,0.00965369,0.0000002661
59933968980,1,8603743953,9083405631,8893425897,9515040312,8978681202,4986373819,4987998835,4885299331,0.00860374,0.00908341,0.00889343,0.00951504,0.00897868,0.00997275,0.00997600,0.00977060,0.0000002797
62327964606,1,8973347159,9432109620,9235767709,9875808654,9341588515,5196618640,5188184414,5084539895,0.00897335,0.00943211,0.00923577,0.00987581,0.00934159,0.01039324,0.01037637,0.01016908,0.0000003040
63257948709,1,9115755785,9570736274,9412276586,9983327170,9481802772,5285811738,5253902556,5154335828,0.00911576,0.00957074,0.00941228,0.00998333,0.00948180,0.01057162,0.01050781,0.01030867,0.0000003033
64156076082,1,9267218654,9714109415,9533615309,10093991015,9647086155,5378250834,5314068026,5207736674,0.00926722,0.00971411,0.00953362,0.01009399,0.00964709,0.01075650,0.01062814,0.01041547,0.0000003012
64566970893,1,9335218654,9801344735,9599056485,10142667511,9705977943,5414539275,5327418651,5240747639,0.00933522,0.00980134,0.00959906,0.01014267,0.00970598,0.01082908,0.01065484,0.01048150,0.0000002942
66549393786,1,9640099662,10132245136,9894615257,10456838699,10019272027,5534026589,5475625387,5396671029,0.00964010,0.01013225,0.00989462,0.01045684,0.01001927,0.01106805,0.01095125,0.01079334,0.0000002786
66618306846,1,9647070682,10144245136,9898615257,10471809719,10034243047,5538026589,5479625387,5404671029,0.00964707,0.01014425,0.00989862,0.01047181,0.01003424,0.01107605,0.01095925,0.01080934,0.0000002795
66936379812,1,9700288366,10181184882,9938439456,10520147662,10070243047,5592633104,5502572143,5430871152,0.00970029,0.01018118,0.00993844,0.01052015,0.01007024,0.01118527,0.01100514,0.01086174,0.0000002944
66948379812,1,9700288366,10181184882,9942439456,10524147662,10070243047,5596633104,5502572143,5430871152,0.00970029,0.01018118,0.00994244,0.01052415,0.01007024,0.01119327,0.01100514,0.01086174,0.0000002957
67516717662,1,9803393444,10268550710,10013507269,10602756234,10171341482,5651897724,5549560196,5455710603,0.00980339,0.01026855,0.01001351,0.01060276,0.01017134,0.01130380,0.01109912,0.01091142,0.0000002949
67899550548,1,9859370699,10312532271,10069668632,10660462192,10221751232,5683252960,5584368761,5508143801,0.00985937,0.01031253,0.01006967,0.01066046,0.01022175,0.01136651,0.01116874,0.01101629,0.0000003059
68081608521,1,9883521333,10340532271,10104560109,10677268690,10253480091,5696059458,5597507411,5528679158,0.00988352,0.01034053,0.01010456,0.01067727,0.01025348,0.01139212,0.01119501,0.01105736,0.0000003059
69433222527,1,10077149244,10538042743,10313271564,10869186901,10498004458,5786667943,5722157301,5628742373,0.01007715,0.01053804,0.01031327,0.01086919,0.01049800,0.01157334,0.01144431,0.01125748,0.0000003061
69825321693,1,10136491030,10584651602,10375369472,10920798945,10561809791,5835749662,5754607607,5655843584,0.01013649,0.01058465,0.01037537,0.01092080,0.01056181,0.01167150,0.01150922,0.01131169,0.0000003152
71387337369,1,10322108086,10827162584,10623722558,11190350059,10757782520,6000791531,5865426903,5799993128,0.01032211,0.01082716,0.01062372,0.01119035,0.01075778,0.01200158,0.01173085,0.01159999,0.0000003549
71924581170,1,10371724837,10904769429,10712705229,11269566831,10850900686,6059980596,5908018456,5846915106,0.01037172,0.01090477,0.01071271,0.01126957,0.01085090,0.01211996,0.01181604,0.01169383,0.0000003721
72893592699,1,10509612742,11033426598,10853148200,11416394259,11022554163,6130803104,5998722444,5928931189,0.01050961,0.01103343,0.01085315,0.01141639,0.01102255,0.01226161,0.01199744,0.01185786,0.0000003815
73008095559,1,10521612742,11046529624,10881148200,11421458853,11043657189,6144970724,6006722444,5941995783,0.01052161,0.01104653,0.01088115,0.01142146,0.01104366,0.01228994,0.01201344,0.01188399,0.0000003849
73762619901,1,10598693981,11165374550,10987323394,11570582104,11178284322,6202434918,6047782799,6012143833,0.01059869,0.01116537,0.01098732,0.01157058,0.01117828,0.01240487,0.01209557,0.01202429,0.0000003920
73958633970,1,10630971270,11190889542,11021711977,11599642838,11209910608,6206712207,6065217247,6033578281,0.01063097,0.01119089,0.01102171,0.01159964,0.01120991,0.01241342,0.01213043,0.01206716,0.0000003883
73982633970,1,10638971270,11190889542,11025711977,11603642838,11213910608,6206712207,6069217247,6033578281,0.01063897,0.01119089,0.01102571,0.01160364,0.01121391,0.01241342,0.01213843,0.01206716,0.0000003868
75580175076,1,10853220622,11441754615,11293827573,11824922030,11494012875,6345073226,6179829735,6147534400,0.01085322,0.01144175,0.01129383,0.01182492,0.01149401,0.01269015,0.01235966,0.01229507,0.0000003890
77794970346,1,11162770611,11776760179,11684345911,12125515929,11838719452,6531521082,6361023308,6314313874,0.01116277,0.01177676,0.01168435,0.01212552,0.01183872,0.01306304,0.01272205,0.01262863,0.0000004019
78099184665,1,11209661596,11845454992,11729750684,12171681217,11878051537,6550702785,6387567980,6326313874,0.01120966,0.01184545,0.01172975,0.01217168,0.01187805,0.01310141,0.01277514,0.01265263,0.0000003962
78424291221,1,11256906148,11887017250,11768438578,12220451058,11939732495,6585235341,6403723318,6362787033,0.01125691,0.01188702,0.01176844,0.01222045,0.01193973,0.01317047,0.01280745,0.01272557,0.0000004036
78700362657,1,11276640996,11931561841,11816292013,12266435436,11979647245,6601235341,6435832380,6392717405,0.01127664,0.01193156,0.01181629,0.01226644,0.01197965,0.01320247,0.01287166,0.01278543,0.0000004126
79472069853,1,11397316044,12037708388,11937101338,12381308803,12091792041,6664548793,6495146354,6467148092,0.01139732,0.01203771,0.01193710,0.01238131,0.01209179,0.01332910,0.01299029,0.01293430,0.0000004203
80938704555,1,11593008350,12280730817,12188478718,12566019311,12358399188,6766731933,6588806947,6596529291,0.01159301,0.01228073,0.01218848,0.01256602,0.01235840,0.01353346,0.01317761,0.01319306,0.0000004144
82738847511,1,11792142315,12560249916,12447162299,12857784722,12622841836,6968814418,6744565305,6745286700,0.01179214,0.01256025,0.01244716,0.01285778,0.01262284,0.01393763,0.01348913,0.01349057,0.0000004856
82899197859,1,11816142315,12591446632,12467678908,12875521513,12638366848,6986086030,6762490409,6761465204,0.01181614,0.01259145,0.01246768,0.01287552,0.01263837,0.01397217,0.01352498,0.01352293,0.0000004927
83125277415,1,11845871785,12630151320,12495814814,12902276259,12681897648,7017309976,6774490409,6777465204,0.01184587,0.01263015,0.01249581,0.01290228,0.01268190,0.01403462,0.01354898,0.01355493,0.0000005003
84244661124,1,12022373807,12804858124,12671287755,13050165155,12845051620,7108275299,6872886536,6869762828,0.01202237,0.01280486,0.01267129,0.01305017,0.01284505,0.01421655,0.01374577,0.01373953,0.0000005088
85157951430,1,12162549478,12968896638,12816562162,13205592876,12967290473,7169836644,6937588215,6929634944,0.01216255,0.01296890,0.01281656,0.01320559,0.01296729,0.01433967,0.01387518,0.01385927,0.0000004966
85987100184,1,12288987822,13080413598,12974132142,13323395988,13098858140,7219735922,7006913873,6994662699,0.01228899,0.01308041,0.01297413,0.01332340,0.01309886,0.01443947,0.01401383,0.01398933,0.0000004884
88010119746,1,12569565801,13389842364,13277676784,13648773516,13400893266,7403360335,7183285894,7136721786,0.01256957,0.01338984,0.01327768,0.01364877,0.01340089,0.01480672,0.01436657,0.01427344,0.0000005200
88764780315,1,12681640986,13526534924,13424973015,13756048741,13490719840,7488594051,7223438519,7172830239,0.01268164,0.01352653,0.01342497,0.01375605,0.01349072,0.01497719,0.01444688,0.01434566,0.0000005226
88788780315,1,12685640986,13530534924,13432973015,13760048741,13494719840,7488594051,7223438519,7172830239,0.01268564,0.01353053,0.01343297,0.01376005,0.01349472,0.01497719,0.01444688,0.01434566,0.0000005195
88931772495,1,12708184285,13562995143,13454093776,13766131821,13518383900,7493714812,7247438519,7180830239,0.01270818,0.01356300,0.01345409,0.01376613,0.01351838,0.01498743,0.01449488,0.01436166,0.0000005187
